MARCA;MODELO;CC;MM DATA;ABS;MODELO con ABS;Año;KM;Coste;PVP;Margen;Matrícula;Model_id;Fecha
YAMAHA;TRACER 900;900;TRACER 900;NO;TRACER 900 ;2021;1000;9200.00;10350.00;1150.00;6255LVX;74fb6c7b-b67c-4d0b-b0ac-963c1e7e4a93;08/05/2023
HONDA;CRF AFRICA TWIN 1000;1000;ÁFRICA  TWIN CRF 1000L DC;NO;CRF AFRICA TWIN 1000 ;2016;47000;8500.00;10373.00;1873.00;6105JNK;deb620c0-a5bf-4051-8256-1c014e92af79;16/02/2023
SUZUKI;V-STROM 1050;1050;V-STROM 1050;NO;V-STROM 1050 ;2021;27900;9700.00;10386.00;686.00;7501LNN;5ec49a39-3747-493d-b25e-d2910ea7e7ea;08/03/2023
BMW;F 750 GS;750;F 750 GS 2021;NO;F 750 GS ;2021;1700;8700.00;10390.00;1690.00;1089LNL;fce78aa0-b388-472f-96e9-d5e78aa758b5;19/10/2023
HONDA;FORZA 750;750;FORZA 750 2020;NO;FORZA 750 ;2021;7600;8860.00;10390.00;1530.00;7152LTV;0b0a49e9-8096-42ac-ad0d-5fdd084bab14;29/06/2023
KAWASAKI;Z 1000;1000;Z 1000 ABS;ABS;Z 1000 ABS;2019;20000;9000.00;10390.00;1390.00;4585KPL;a157226b-13c4-4350-b11b-7bcc0be51761;26/07/2023
YAMAHA;MT 10;998;MT 10;NO;MT 10 ;2018;18200;7575.00;10390.00;2815.00;4512KMV;342c31e0-1fdd-4067-9bb2-80e37ad91e47;19/03/2024
YAMAHA;T-MAX 560;560;T-MAX 560;NO;T-MAX 560 ;2021;11782;8660.00;10390.00;1730.00;4862LNH;7acabccd-e5d7-429c-a5a2-b9a7a19b3e59;24/05/2024
YAMAHA;TRACER 9;889;TRACER 9;NO;TRACER 9 ;2021;12318;8900.00;10390.00;1490.00;6383LSD;0817ed43-7044-4e98-bc33-ed358f9300b5;08/05/2024
TRIUMPH;TIGER 1200;1200;TIGER 1200;NO;TIGER 1200 ;2016;38939;9800.00;10395.00;595.00;8860JPP;7a622831-3a93-4f15-b096-5148d9ed8b43;15/03/2023
BMW;S 1000 R;999;S 1000 R;;;2021;38006;10500.00;10399.00;-101.00;7017LMS;b11227d1-c796-4942-8350-80625be305d5;24/10/2024
KAWASAKI;Z 1000;1043;Z 1000;;;2018;27382;9000.00;10399.00;1399.00;6388KRV;a157226b-13c4-4350-b11b-7bcc0be51761;26/11/2024
TRIUMPH;TIGER 900;888;TIGER 900;;;2021;20740;9000.00;10399.00;1399.00;6031LRX;c82680b5-389a-4df4-9fd6-2a507d779c61;13/11/2024
YAMAHA;MT 09 SP;889;MT 09;;;2023;5988;8545.00;10399.00;1854.00;0380MKW;48bff86f-b7db-4a4f-a6a3-e33ce540952d;28/10/2024
YAMAHA;T-MAX 560;562;T-MAX 560;;;2021;22792;9000.00;10399.00;1399.00;2894LPF;7acabccd-e5d7-429c-a5a2-b9a7a19b3e59;14/10/2024
HONDA;CB 125 F;124;CB 125;;;2015;38765;500.00;1040.00;540.00;6050JJF;00c81795-1d1e-41ac-80c8-c7b263c10991;12/08/2024
SUZUKI;BURGMAN 150;152;BURGMAN 150;NO;BURGMAN 150 ;2004;25862;800.00;1040.00;240.00;0347CVY;ZZZZZZZ;24/05/2024
SYM;JET 125;125;JET 14 125 I;;;2018;43800;500.00;1040.00;540.00;7427KPF;22b4b837-0a01-4d8e-b7f4-7c5dfdbf43f8;12/08/2024
HONDA;FORZA 750;750;FORZA 750;NO;FORZA 750 ;2022;8875;9000.00;10400.00;1400.00;0646LWL;0b0a49e9-8096-42ac-ad0d-5fdd084bab14;06/02/2023
INDIAN;SCOUT;1133;SCOUT;;;2020;8672;8500.00;10400.00;1900.00;2894LJS;ZZZZZZZ;06/11/2024
YAMAHA;MT 10;998;MT 10;NO;MT 10 ;2019;15000;10000.00;10440.00;440.00;5433LCR;342c31e0-1fdd-4067-9bb2-80e37ad91e47;03/04/2024
YAMAHA;MT 10;998;MT 10;;;2017;17459;9300.00;10440.00;1140.00;4438JYJ;342c31e0-1fdd-4067-9bb2-80e37ad91e47;07/10/2024
YAMAHA;T-MAX 560;560;T-MAX 560;NO;T-MAX 560 ;2021;11992;9500.00;10440.00;940.00;7753LMG;7acabccd-e5d7-429c-a5a2-b9a7a19b3e59;13/06/2024
YAMAHA;T-MAX 560;562;T-MAX 560;;;2022;15088;9000.00;10440.00;1440.00;1391LXD;7acabccd-e5d7-429c-a5a2-b9a7a19b3e59;30/11/2024
BMW;R NINE T;1170;NINET;NO;R NINE T ;2021;6000;9200.00;10441.00;1241.00;3196LNP;f8585d56-b642-4b8d-a63d-426a6bba013a;31/03/2023
HONDA;CRF AFRICA TWIN 1000;1000;AFRICATWINDCT;NO;CRF AFRICA TWIN 1000 ;2018;41522;10000.00;10441.00;441.00;3216KLX;deb620c0-a5bf-4051-8256-1c014e92af79;16/01/2023
SUZUKI;GSX-S 1000;1000;GSX S 1000;NO;GSX-S 1000 ;2022;1200;11500.00;10441.00;-1059.00;9326LXN;7300c937-389a-40fc-a720-364b4d178230;31/01/2023
YAMAHA;MT 10;998;MT 10 SP;NO;MT 10 ;2017;15001;10000.00;10441.00;441.00;0942LJG;342c31e0-1fdd-4067-9bb2-80e37ad91e47;21/09/2022
KTM;ADVENTURE 790;790;ADVENTURE 790;NO;ADVENTURE 790 ;2019;18600;8600.00;10470.00;1870.00;5892KWG;4375d740-cac3-4dc1-aaaa-205afc4447dc;17/04/2023
BMW;R NINE T;1170;NINET URBAN GS;NO;R NINE T ;2017;24555;9500.00;10480.00;980.00;8183KCH;f8585d56-b642-4b8d-a63d-426a6bba013a;20/03/2023
HONDA;CB 1000 R;1000;CB 1000 R;NO;CB 1000 R ;2019;6500;11000.00;10480.00;-520.00;3222KZF;abac4782-1ff2-4b6f-8df8-e14752cc1ff5;06/04/2023
HONDA;CRF AFRICA TWIN 1000;1000;CRF 1000 L AFRICA TWIN DCT;NO;CRF AFRICA TWIN 1000 ;2017;23000;9000.00;10489.00;1489.00;5994MKZ;deb620c0-a5bf-4051-8256-1c014e92af79;07/12/2023
DAELIM;DAYSTAR 125;125;DAYSTAR 125;;;2011;14000;480.00;1049.00;569.00;9230HDJ;80abcf45-3514-40ae-9bc6-a5432001c7c8;29/11/2024
